tau,step03_best_model,step03_best_graph,step03_clean_mse,step03_directional_accuracy,erm_clean_mse_reference,feature_robust_clean_mse,feature_erm_deg_mse_0.1,feature_robust_deg_mse_0.1,feature_deg_mse_improvement_0.1,feature_robust_choice,graph_robust_clean_mse,graph_erm_deg_mse_0.1,graph_robust_deg_mse_0.1,graph_deg_mse_improvement_0.1,graph_erm_sensitivity_G,graph_robust_sensitivity_G,graph_sensitivity_improvement,graph_robust_choice
1,lasso_own,none,2.9290028180639638e-09,0.602309973466521,2.9753772778917664e-09,3.0306708254101977e-09,3.8783918299145625e-09,4.117618246368693e-09,-2.3922641645413023e-10,"rho=0.05,R=3",2.983846503212817e-09,8.294920306184395e-12,6.197709012667474e-12,2.0972112935169207e-12,1.1034142870236519e-10,9.497132182241519e-11,1.5370106879949996e-11,"rho=0.1,R=1"
2,graph_linear_ridge,return_abs,5.938356473222939e-09,0.5958549222797928,5.948602943561809e-09,6.2243636911318845e-09,1.6957502513292866e-08,1.882426969856965e-08,-1.8667671852767853e-09,"rho=0.05,R=1",5.922629053856099e-09,1.1401990462900358e-11,5.357048138421305e-12,6.044942324479052e-12,1.7558200293005255e-10,1.0694979906029911e-10,6.863220386975344e-11,"rho=0.2,R=1"
10,graph_linear_ridge,return_abs,3.174985607756753e-08,0.5751960784313725,3.221320454827037e-08,1.2816937555726327e-07,4.813304812500974e-07,4.119168863780942e-07,6.941359487200316e-08,"rho=0.2,R=3",3.1790801102715704e-08,2.2099655438978516e-10,1.0620127000038337e-10,1.1479528438940179e-10,2.7927646445435883e-09,1.8544864879843637e-09,9.382781565592246e-10,"rho=0.2,R=3"
20,graph_linear_ridge,return_abs,6.607817937265281e-08,0.5513877551020409,6.62759305214422e-08,4.2673840994211787e-07,1.6696007207883667e-06,1.5967802085015137e-06,7.282051228685305e-08,"rho=0.2,R=1",6.567487531583538e-08,6.709441890961898e-10,4.2527403820713516e-10,2.4567015088905464e-10,8.85256926097533e-09,6.327778911963122e-09,2.524790349012207e-09,"rho=0.2,R=3"
